iter	Passed	Remaining
0	160	160571
1	162	81112
2	164	54524
3	165	41277
4	169	33778
5	171	28446
6	173	24655
7	175	21743
8	176	19439
9	177	17587
10	178	16072
11	179	14802
12	180	13729
13	182	12888
14	184	12084
15	184	11362
16	185	10726
17	186	10157
18	186	9650
19	187	9192
20	188	8774
21	188	8395
22	189	8048
23	190	7730
24	190	7436
25	191	7164
26	191	6912
27	192	6679
28	193	6463
29	193	6261
30	194	6071
31	195	5901
32	196	5762
33	197	5606
34	197	5456
35	198	5314
36	199	5181
37	199	5055
38	200	4938
39	201	4824
40	201	4716
41	202	4613
42	202	4515
43	203	4420
44	204	4331
45	204	4244
46	205	4161
47	205	4081
48	206	4006
49	207	3933
50	207	3864
51	208	3796
52	208	3732
53	210	3683
54	211	3630
55	211	3572
56	212	3515
57	213	3460
58	213	3408
59	214	3357
60	214	3307
61	215	3259
62	216	3213
63	216	3168
64	217	3124
65	217	3082
66	218	3041
67	219	3001
68	219	2963
69	220	2925
70	220	2889
71	221	2854
72	222	2819
73	222	2785
74	223	2752
75	223	2721
76	225	2707
77	226	2676
78	227	2647
79	227	2620
80	228	2592
81	229	2564
82	229	2533
83	229	2507
84	230	2481
85	231	2456
86	231	2431
87	232	2407
88	232	2383
89	233	2360
90	233	2337
91	234	2315
92	235	2293
93	235	2273
94	236	2252
95	237	2232
96	237	2212
97	238	2192
98	238	2173
99	240	2166
100	241	2148
101	241	2130
102	242	2112
103	243	2094
104	243	2077
105	244	2060
106	244	2043
107	245	2027
108	246	2011
109	246	1995
110	247	1980
111	247	1965
112	248	1950
113	249	1936
114	249	1921
115	250	1907
116	250	1892
117	251	1879
118	251	1865
119	252	1852
120	253	1840
121	253	1826
122	255	1822
123	256	1810
124	256	1797
125	257	1785
126	257	1772
127	258	1760
128	259	1750
129	259	1739
130	260	1727
131	261	1716
132	261	1705
133	262	1694
134	262	1684
135	263	1673
136	264	1663
137	264	1653
138	265	1643
139	265	1633
140	266	1624
141	266	1613
142	267	1605
143	268	1596
144	269	1587
145	270	1583
146	271	1574
147	271	1565
148	272	1555
149	273	1547
150	273	1538
151	274	1529
152	274	1521
153	275	1513
154	276	1504
155	276	1496
156	277	1488
157	277	1480
158	278	1472
159	279	1465
160	279	1456
161	280	1449
162	280	1442
163	281	1435
164	282	1427
165	282	1420
166	283	1413
167	284	1406
168	285	1404
169	286	1397
170	286	1390
171	287	1383
172	288	1376
173	288	1370
174	289	1363
175	289	1356
176	290	1350
177	290	1343
178	291	1337
179	292	1331
180	292	1324
181	293	1318
182	294	1312
183	294	1306
184	295	1300
185	295	1294
186	296	1289
187	297	1283
188	297	1277
189	298	1271
190	299	1266
191	300	1264
192	301	1258
193	301	1253
194	302	1247
195	302	1242
196	303	1236
197	303	1231
198	304	1225
199	305	1220
200	305	1215
201	306	1210
202	307	1205
203	307	1200
204	308	1195
205	308	1190
206	309	1185
207	310	1180
208	310	1175
209	311	1170
210	311	1165
211	312	1161
212	312	1156
213	313	1152
214	315	1151
215	316	1147
216	316	1143
217	317	1138
218	318	1134
219	318	1129
220	319	1126
221	320	1122
222	320	1117
223	321	1113
224	322	1109
225	322	1105
226	323	1101
227	323	1096
228	324	1092
229	325	1088
230	325	1084
231	326	1080
232	327	1076
233	327	1072
234	328	1068
235	329	1065
236	330	1063
237	330	1059
238	331	1055
239	332	1051
240	332	1047
241	333	1044
242	333	1040
243	334	1036
244	335	1032
245	335	1028
246	336	1026
247	337	1022
248	337	1018
249	338	1014
250	338	1011
251	339	1007
252	340	1004
253	340	1000
254	341	997
255	341	993
256	342	990
257	343	986
258	345	987
259	345	984
260	346	980
261	347	977
262	347	974
263	348	971
264	349	968
265	349	965
266	350	962
267	351	959
268	351	956
269	352	952
270	353	949
271	353	946
272	354	943
273	354	940
274	355	937
275	356	934
276	356	930
277	357	927
278	357	924
279	359	923
280	360	921
281	360	918
282	361	915
283	361	912
284	362	909
285	363	906
286	363	903
287	364	900
288	365	898
289	365	895
290	366	892
291	366	889
292	367	886
293	368	883
294	368	881
295	369	878
296	369	875
297	370	872
298	371	870
299	371	867
300	372	864
301	372	862
302	374	861
303	375	859
304	375	856
305	376	853
306	377	851
307	377	848
308	378	845
309	378	843
310	379	841
311	380	838
312	381	836
313	382	835
314	383	833
315	384	832
316	385	830
317	386	828
318	386	826
319	387	823
320	388	821
321	389	820
322	390	818
323	391	815
324	391	813
325	392	811
326	393	808
327	393	806
328	394	804
329	395	802
330	395	800
331	396	797
332	397	795
333	397	792
334	398	790
335	399	788
336	400	787
337	401	785
338	401	783
339	402	781
340	403	779
341	405	779
342	406	777
343	406	775
344	407	773
345	408	771
346	408	769
347	409	766
348	409	764
349	410	762
350	411	761
351	412	760
352	413	757
353	414	755
354	414	753
355	415	751
356	415	749
357	416	747
358	417	744
359	419	745
360	420	744
361	421	741
362	422	741
363	422	739
364	424	738
365	425	736
366	425	734
367	426	732
368	427	730
369	427	728
370	428	726
371	428	724
372	430	722
373	431	721
374	431	719
375	432	717
376	433	716
377	434	715
378	435	712
379	436	711
380	437	710
381	437	708
382	438	706
383	439	704
384	439	702
385	440	700
386	441	698
387	442	697
388	443	696
389	443	694
390	444	692
391	444	690
392	445	688
393	446	686
394	446	684
395	449	685
396	450	683
397	450	682
398	451	680
399	452	678
400	452	676
401	453	674
402	454	672
403	455	671
404	456	670
405	456	668
406	457	666
407	457	664
408	458	662
409	459	660
410	459	658
411	460	657
412	461	656
413	463	656
414	464	655
415	465	653
416	465	651
417	466	649
418	467	648
419	468	646
420	468	644
421	469	643
422	470	641
423	470	639
424	471	637
425	471	635
426	472	634
427	474	633
428	474	632
429	475	630
430	476	628
431	476	626
432	478	627
433	479	625
434	480	624
435	481	623
436	482	621
437	482	619
438	483	617
439	484	616
440	484	614
441	486	613
442	487	612
443	487	610
444	488	609
445	489	607
446	489	605
447	490	604
448	491	603
449	493	603
450	494	602
451	495	601
452	496	599
453	496	597
454	497	595
455	498	594
456	499	593
457	500	591
458	500	590
459	501	588
460	502	587
461	502	585
462	503	584
463	504	583
464	505	582
465	506	580
466	508	579
467	509	579
468	510	578
469	511	577
470	512	575
471	513	574
472	513	572
473	514	571
474	515	569
475	516	568
476	521	571
477	523	572
478	527	573
479	528	572
480	529	571
481	530	570
482	531	569
483	532	567
484	533	566
485	534	565
486	535	563
487	541	568
488	543	567
489	544	566
490	545	565
491	545	563
492	546	562
493	547	560
494	548	559
495	549	558
496	550	557
497	556	561
498	558	560
499	559	559
500	560	558
501	561	556
502	562	555
503	563	554
504	564	553
505	564	551
506	565	550
507	567	549
508	569	549
509	570	548
510	571	547
511	572	546
512	574	544
513	577	545
514	579	545
515	583	546
516	584	546
517	585	544
518	588	545
519	589	544
520	590	542
521	590	541
522	592	539
523	592	538
524	593	537
525	594	535
526	594	533
527	595	532
528	598	532
529	599	531
530	600	530
531	601	528
532	601	527
533	602	525
534	603	524
535	603	522
536	605	521
537	605	520
538	606	518
539	607	517
540	607	515
541	608	514
542	608	512
543	609	510
544	611	510
545	614	510
546	615	509
547	615	508
548	616	506
549	617	505
550	617	503
551	618	502
552	619	500
553	620	499
554	621	498
555	622	496
556	622	495
557	623	493
558	623	492
559	624	490
560	628	491
561	630	491
562	630	489
563	631	488
564	632	486
565	632	485
566	633	483
567	634	482
568	635	481
569	636	479
570	636	478
571	637	477
572	638	475
573	638	474
574	643	475
575	644	474
576	645	473
577	646	472
578	647	470
579	647	469
580	648	467
581	650	466
582	650	465
583	651	464
584	651	462
585	652	461
586	653	459
587	653	458
588	654	456
589	655	455
590	660	457
591	661	455
592	662	454
593	662	453
594	663	451
595	664	450
596	664	448
597	666	448
598	667	446
599	667	445
600	668	443
601	668	442
602	669	440
603	672	441
604	674	440
605	674	438
606	675	437
607	676	435
608	676	434
609	677	433
610	678	431
611	679	430
612	680	429
613	680	428
614	681	426
615	682	425
616	682	423
617	683	422
618	689	424
619	690	423
620	691	421
621	691	420
622	692	418
623	693	417
624	693	416
625	695	415
626	696	414
627	696	412
628	697	411
629	697	409
630	698	408
631	701	408
632	704	408
633	704	406
634	705	405
635	706	404
636	707	402
637	707	401
638	708	400
639	709	399
640	710	398
641	711	396
642	711	395
643	712	393
644	713	392
645	713	391
646	715	390
647	719	390
648	720	389
649	721	388
650	722	387
651	722	385
652	723	384
653	724	383
654	725	382
655	726	380
656	726	379
657	727	378
658	728	376
659	728	375
660	733	376
661	734	374
662	735	373
663	735	372
664	736	371
665	737	369
666	738	368
667	739	367
668	740	366
669	740	364
670	741	363
671	741	362
672	742	360
673	743	359
674	750	361
675	752	360
676	753	359
677	753	358
678	754	356
679	756	355
680	756	354
681	757	353
682	758	351
683	758	350
684	759	349
685	764	349
686	764	348
687	765	347
688	766	346
689	767	344
690	768	343
691	768	342
692	770	341
693	770	339
694	771	338
695	772	337
696	772	335
697	773	334
698	773	333
699	774	331
700	778	332
701	779	330
702	779	329
703	780	328
704	781	326
705	781	325
706	782	324
707	783	323
708	784	321
709	784	320
710	785	319
711	786	318
712	786	316
713	788	315
714	789	314
715	793	314
716	794	313
717	794	312
718	795	310
719	796	309
720	797	308
721	797	307
722	798	305
723	799	304
724	799	303
725	801	302
726	802	301
727	802	299
728	807	300
729	808	299
730	809	297
731	810	296
732	811	295
733	812	294
734	812	293
735	813	291
736	814	290
737	815	289
738	816	288
739	816	286
740	817	285
741	817	284
742	819	283
743	822	282
744	823	281
745	823	280
746	824	279
747	825	277
748	825	276
749	826	275
750	827	274
751	828	273
752	829	271
753	829	270
754	830	269
755	830	268
756	831	266
757	834	266
758	835	265
759	836	264
760	837	263
761	838	261
762	838	260
763	839	259
764	840	258
765	841	257
766	842	255
767	843	254
768	843	253
769	844	252
770	844	250
771	845	249
772	846	248
773	849	248
774	850	246
775	851	245
776	852	244
777	852	243
778	853	242
779	854	240
780	854	239
781	855	238
782	856	237
783	857	236
784	857	234
785	858	233
786	858	232
787	859	231
788	862	230
789	869	231
790	870	229
791	871	228
792	871	227
793	872	226
794	874	225
795	875	224
796	883	225
797	884	223
798	885	222
799	888	222
800	889	220
801	890	219
802	890	218
803	896	218
804	897	217
805	898	216
806	899	215
807	900	214
808	901	212
809	903	212
810	904	210
811	905	209
812	905	208
813	907	207
814	914	207
815	914	206
816	915	205
817	916	203
818	917	202
819	917	201
820	918	200
821	920	199
822	921	198
823	923	197
824	925	196
825	926	195
826	927	193
827	927	192
828	928	191
829	929	190
830	930	189
831	931	188
832	932	186
833	932	185
834	933	184
835	933	183
836	934	182
837	938	181
838	939	180
839	940	179
840	940	177
841	941	176
842	942	175
843	943	174
844	944	173
845	945	172
846	945	170
847	946	169
848	946	168
849	947	167
850	948	166
851	949	164
852	952	164
853	953	163
854	954	161
855	955	160
856	957	159
857	958	158
858	959	157
859	960	156
860	960	155
861	961	153
862	963	152
863	963	151
864	964	150
865	965	149
866	969	148
867	969	147
868	970	146
869	971	145
870	972	144
871	973	142
872	974	141
873	975	140
874	976	139
875	976	138
876	977	137
877	978	135
878	979	134
879	979	133
880	984	132
881	985	131
882	985	130
883	986	129
884	987	128
885	989	127
886	990	126
887	992	125
888	993	124
889	995	123
890	997	122
891	998	120
892	999	119
893	1000	118
894	1002	117
895	1003	116
896	1004	115
897	1005	114
898	1007	113
899	1008	112
900	1008	110
901	1009	109
902	1013	108
903	1014	107
904	1015	106
905	1016	105
906	1017	104
907	1018	103
908	1018	101
909	1019	100
910	1020	99
911	1020	98
912	1021	97
913	1022	96
914	1025	95
915	1026	94
916	1027	92
917	1028	91
918	1029	90
919	1029	89
920	1030	88
921	1031	87
922	1032	86
923	1032	84
924	1033	83
925	1033	82
926	1034	81
927	1040	80
928	1041	79
929	1044	78
930	1046	77
931	1046	76
932	1050	75
933	1054	74
934	1055	73
935	1056	72
936	1058	71
937	1059	70
938	1060	68
939	1061	67
940	1062	66
941	1070	65
942	1071	64
943	1072	63
944	1083	63
945	1084	61
946	1086	60
947	1087	59
948	1088	58
949	1091	57
950	1096	56
951	1097	55
952	1098	54
953	1099	53
954	1100	51
955	1101	50
956	1146	51
957	1147	50
958	1148	49
959	1149	47
960	1150	46
961	1151	45
962	1153	44
963	1157	43
964	1158	42
965	1159	40
966	1160	39
967	1161	38
968	1162	37
969	1180	36
970	1181	35
971	1183	34
972	1184	32
973	1189	31
974	1191	30
975	1192	29
976	1193	28
977	1196	26
978	1197	25
979	1198	24
980	1199	23
981	1199	21
982	1206	20
983	1207	19
984	1208	18
985	1209	17
986	1212	15
987	1213	14
