iter	Passed	Remaining
0	1	172
1	2	135
2	3	117
3	4	103
4	5	99
5	6	95
6	7	93
7	7	91
8	9	99
9	11	102
10	12	100
11	13	100
12	14	99
13	16	98
14	17	98
15	18	96
16	19	94
17	20	92
18	21	90
19	22	88
20	23	87
21	24	86
22	25	85
23	26	84
24	27	83
25	29	83
26	30	82
27	31	81
28	32	80
29	33	78
30	34	77
31	36	76
32	37	76
33	38	75
34	39	73
35	40	72
36	42	71
37	43	70
38	44	69
39	45	68
40	46	67
41	47	64
42	47	63
43	48	61
44	49	60
45	50	59
46	51	57
47	52	56
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	48
54	58	47
55	59	46
56	60	45
57	60	44
58	61	42
59	63	42
60	64	40
61	65	40
62	66	38
63	67	37
64	67	36
65	69	35
66	70	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	28
72	75	28
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	83	18
82	84	17
83	85	16
84	86	15
85	86	14
86	87	13
87	89	12
88	90	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	96	2
97	97	1
98	98	0
99	100	0
